Абонент	Телефон	Номер_дома	Счет
СТРОЙУЧА	70764419	52	95,37
ХЛЕБОЗАВОД_3	90955932	57	47,78
"РЫБКОЛХОЗ_""ПУТЬ_ИЛЬИЧА"""	71477891	2	34,53
ГЛ_БУХГАЛТЕР	51932613	105	36,5
УЧЕБНЫЙ_ОТРЯД	23566981	22	46,02
СЕВ._ФИЛИАЛ_КИЕВСКОГО_ИНДУСИРИАЛЬНО-ПЕДА_ГОГИЧЕСКОГО_КОЛЛЕДЖА	8546757	1	96,64
"СТАНЦИЯ_ТОВАРНАЯ_""МЕКЕНЗИЕВЫ_ГОРЫ"""	27062368	2	55,16
ЦЕХ_РЕМОНТА_И_УСТАНОВ_ВОДОМЕР	25282254	16	50,62
ЗАМ_НАЧ_ШТАБА	37619572	99	98,1
"МАГАЗИН_""АППЕТИТНЫЙ""_ЗАО_""ФАБРИКА_ЗАГОТОВОЧНАЯ""_(МАГ_КУЛ)"	37226406	49	74,32
МЕДСЕСТРА	87299848	32	23,96
ПРИЕМ_ДОХОДОВ_ПО_ТЕЛ	2451716	63	5,65
"ГАРАЖНЫЙ_КООПЕРАТИВ_""ОКЕАН-4"""	89465255	56	65,29
"О.О.О._""СИТАЛЛ"""	91599882	76	1,4
КЛАДОВАЯ	98835109	34	69,05
ТПС_17	15280860	57	54,45
ВЕТЕРИНАРНАЯ_ЛАБОРАТОРИЯ,ЛЕЧЕБНИЦА_(БАЛАКЛАВА)	88773895	50	83,26
ТЕРРИТОРИЯ_СВМИ	5142516	30	85,38
НИИ_ПРОЕКТРЕКОНСТРУКЦИЯ_ГОС_НАУЧНО-ИССЛЕД_И_ПРОЕКТНО-ИЗЫСКАТ_ИНСТИТУТ	77227382	2	26,94
ДЕЖ_ТЕХНИК_ПО_ОБСЛ_СТ_ОБОР_МТА	31079594	8	9,97
ЦОП_И_ПУ_АБОНЕНТСКИЙ_УЧАСТОК	10934912	30	49,73
ОТРЯД_ВОХР_ПОСТ_N_2_ЦЕНТРАЛЬНЫЙ_СКЛАД	1620136	43	8,13
"СКЛАД_КНИЖНЫЙ_ЗАО_""СЕВАСТОПОЛЬКНИГА"""	65732848	16	59,62
"ИМАН_МАГАЗИН_""ПРОДУКТЫ"""	4762772	27	81,6
"ДЕТСКО-ЮНОШЕСКИЙ_КЛУБ_""ОПТИМИСТ-1"""	49244570	3	99,16
ОБСЕРВАЦИОННОЕ_ОТД_ЗАВ	7540155	103	42,69
"ДЕТСКИЙ_КЛУБ_""ЛУЧ"""	65080262	40	71,96
"ЧП_""ДЕМПИНГ"""	37339232	20	-0,12
"ПРОИЗВОДСТВЕННЫЙ_ОТДЕЛ_ООО_НПКФ_""ТЭКО"""	66812868	101	27,43
ОТДЕЛЕНИЕ_СВЯЗИ_4	18947403	25	86,7
ТЕПЛИЧНЫЙ_КОМБИН_УПРАВЛЯЮЩИЙ	29758719	1	20,38
ПЛАНОВО-ЭКОНОМИЧ_ГРУППА_К.52	61375175	24	86,35
МАСТЕРА_ГЛ_ИНЖЕНЕР	11787963	8	59,42
ПРИЗЫВНОЙ_ПУНКТ_АДМ_ОКТЯБР_12	82382433	45	89,51
ЭКОНОМИСТЫ	60615326	12	23,5
АРХИТЕКТУРЫ_ОТДЕЛ_ЗАВ	99018325	42	8,79
РЕМ_МАСТЕРСКИЕ	91776052	57	3,94
"МЧП_""ШЕЛДАН"""	8969994	37	9,54
БАЛАКЛАВА	42333257	47	70,96
СТРОЕВАЯ_ЧАСТЬ	70117908	29	41,09
"ЧП_""СЕНАТ"""	73382752	19	18,6
СЕКРЕТАРЬ_К.34	59772081	29	24,35
ДРОБ_ОБОГАТ_ФАБР_БАЛАКЛ_НАЧАЛ	29091275	34	25,57
ЗАМ_ГЕНЕР_ДИРЕКТОРА_ПО_ФЛОТУ	54888837	21	83,45
РАБОЧАЯ,_5	37037845	3	8,38
УПРАВЛЕНИЕ_ЗАМ_НАЧАЛЬНИКА	54951306	69	88,93
"ООО_""СЕВМЕД"""	39740469	55	37,63
"ООО_""ИНТЕРМАРКЕТ""_(МАГ_ПРОМ)"	82782964	26	50,55
ГОСУПРАВЛЕНИЕ_ЭКОБЕЗОПАСНОСТИ	39456485	40	82,88
ПЛЯЖ_ПЕСОЧНЫЙ_(МЕДПУНКТ)	3903241	22	65,57
ОТДЕЛ_НАРОДНОГО_ОБРАЗОВАНИЯ_БАЛАКЛАВСКОГО_РАЙОНА	59339758	40	39,3
РАДИОЛОГИИ_ОТДЕЛ	82868012	18	6,67
ЭЭУ_ЛАБОРАТОРИЯ_КИПА	71906207	213	48,28
17_ОТДЕЛ_КОМ.233	4009630	1	99,4
ФИЛИАЛ_1_ЦЕНТРАЛИЗОВАННОЙ_БИБЛИОТЕЧНОЙ_СИСТЕМЫ_ДЛЯ_ВЗРОСЛЫХ	25830876	14	45,87
ПОДРОСТКОВЫЙ_КАБИНЕТ	4770353	18	40,16
ИНФОРМАЦИОН_АНАЛИЗА_ОТД	75186426	61	92,73
УЧЕТА_И_ОТЧЕТ_ЭКОНОМ_АНАЛ_УПР	32431718	2	38,44
ЦБР_08	67101597	61	79
33Я_ЭЛЕКТРИЧЕСКАЯ_СЕТЬ	92180553	19	54,1
ПРОРЕКТОР_ПО_СОЦ_ВОПРОСАМ	28479214	20	85,34
ПЛАНОВО-ФИНАНСОВЫЙ_ОТД_НАЧ	55672007	16	96,01
ОТДЕЛ_КВАРТИРНОГО_УЧЕТА	60844761	28	50,05
ОТД_ВЗАИМОД_АТМОСФЕРЫ_И_ОКЕАНА	58329551	4	6,87
КОСАРЕВА_2-89_СЛУЖЕБ._ОБОЗНЫЙ	6360212	158	75,22
МУЗЫКИ_Н_38	949308	32	13,99
"ЧП_""ОЛТОН"""	70511350	120	29,72
"ЗАО_""РЕМСТРОЙКОМПЛЕКТ"""	38275022	181	52,01
"ДП_""ЦЕПТЕР_ИНТЕРНАЦИОНАЛЬ_""УКРАИНА"""	55796990	41	87,88
"Ч.П._""ДОВЕРИЕ-М"""	70086849	6	74,28
ПЕКАРНЯ	15106643	17	94,36
КОМАНДИР_В/Ч_А-4552	81222590	32	53,53
СВИНОФЕРМА	49295421	119	64,09
"СКЛАД_""РАДИО""_""ГАЛАНТЕРЕЯ"""	50776507	14	81,33
РАИСОБЕС_НАХИМОВСКОГО_Р-НА	11264305	17	68,18
ЗАМ_ГЕНЕРАЛЬНОГО_ДИРЕКТОРА	54562385	13	8,61
К._514_ДИСПЕТЧЕР	12885256	17	58,6
ЛИНЕЙНО-КАБЕЛЬНЫЙ_УЧАСТОК_ЦРСС_И_М	79094441	37	64,93
ОТД_ГИГИЕНЫ_ТРУДА	20924397	30	40,14
ВО_ДВОРЕ	30035469	230	64,23
ТРАНСПОРТНАЯ_ПРОКУРАТУРА	45645019	34	88,42
ДРП_ЛАСПИ	27865277	16	87,12
ТИТАН	30350953	1	58,38
НАРКОЛОГИЧЕСКИЙ_ЦЕНТР	96391216	31	70,25
ОТДЕЛ_ОНТИ	12978103	230	42,72
СЕКРЕТАРЬ_БУХГАЛТЕРИЯ	71756220	59	77,1
ГЛ_ВРАЧ_БУХГАЛТЕРИЯ	29721942	38	17,44
"СЕВАСТОПОЛЬСКИЙ_ФИЛИАЛ_МЧП_""ТАЙМЕР"""	68222760	7	7,25
ОТРЯД_ВОХР_N15	32135268	123	37,92
"УЧАСТОК_1_ЗАО_""МЕХАНИЗАЦИЯ_СТРОИТЕЛЬСТВА""_(ССУМ)"	65934236	18	34,83
БУХГАЛТЕРИЯ_КОМ.311	24195411	93	2,59
"ООО_""САХАРНАЯ_ГОЛОВКА"""	95241438	417	85,39
ЛАБОРАТОРИЯ_ХИМОЭКОЛОГИИ	34615675	23	6,11
ЗАВ_ПОЛИКЛИНИЧЕСКИМ_ОТД	20009664	53	1,98
"КАФЕДРА_""РАДИОТЕХН.СР.И_СВЯЗИ"	92119939	41	75,91
НАЧ_ОТД_ДОХОДОВ_ГОСБЮДЖЕТА	8230948	68	17,29
КАБИНА_(ШКОЛА_3)	21501930	138	68,7
ПРОИЗВОДСТВЕН.КОНТРОЛЬ_К.312	2581307	55	75,41
"РЫБОЛОВНО-ТУРИСТИЧЕСКАЯ_БАЗА_""ОМЕГА""_ВОЕННО-ОХОТН_ОБ-ВА_(РТБ_""ОМЕГА"")"	8998727	26	24,92
КРЫМСКИЙ_ИНСТИТУТ_ЭКОНОМИКИ_И_ХОЗЯЙСТВЕННОГО_ПРАВА_СФ	94363410	18	73,1
ТАБЕЛЬНАЯ	66980736	12	57,65
"ДИСПЕТЧ.УЗЕЛ_МТА_КОМП.""СИРИУС"""	14888392	75	97,13
"КРОСС_ООО_""СЕВТЕЛЕКОМ"""	48067968	71	73,02
НАУЧНО-МЕДИЦИНСКАЯ_БИБЛИОТЕКА	78861984	156	32,68
"ДП_КАЦ_""СЕВМОРСТАНДАРТ""_ОАО_""СЕВМОРЗАВОД"""	36896006	60	92,52
"ОФИС_ЗАО_""РЫБПОРТСЕРВИС"""	4694042	50	18,19
АДМ_ОТД_ЗАВ,ОТД_НЕСОВЕРШЕННОЛЕ	54925091	46	34,85
"НАУЧНО-ПРОИЗВОДСТВЕННЫЙ_СЕКТОР_НТЦ_""ШЕЛЬФ"""	38538900	5	47,65
КОМНАТА_418	52577898	22	7,73
В/Ч_26962_КОМЕНДАТУРА_ЧФ_115	90682550	35	28,96
К.202_ПРИЕМНАЯ	52111513	77	26,37
"ОФИС_ООО_""БЛЭК_СИ_СЕРВИС"""	62008155	57	2,82
УМВД_УКРАИНЫ_В_Г.СЕВАСТОПОЛЕ_ГАГАРИНСКИЙ_РАЙОТДЕЛ	13735033	56	19,87
"СП_""СТАБИЛЬНОСТЬ"""	21647599	1	72,58
МАГАЗИН_N_6_ХЛЕБОКОМБИНАТА_ИМ._С.М.КИРОВА	66774183	1	17,19
КОМ._24	21304017	10	90,39
ТР-Т_111/73	51761813	107	6,61
ДЕТСКО-ЮНОШЕСКАЯ_СПОРТИВНАЯ_ШКОЛА_УПРАВ-НИЯ_ПО_ДЕЛАМ_МОЛОДЕЖИ_И_СПОРТА	73209411	22	98,87
ЗАМ_ГЛ_ВРАЧА_ПО_ЭКОНОМИКЕ_И_ОК	6728065	29	65,83
АТС-23,24	94224447	71	87,61
СЕВАСТОПОЛЬСКОЕ_ОТДЕЛЕНИЕ_УКРГЕОДЕЗКАРТОГРАФИЯ	85083785	63	1,12
ШТАБ_ГРАЖДАНСКОЙ_ОБОРОНЫ_ЛЕНИНСКОГО_РАЙОНА	15404071	5	77,96
ОГСЭПП	42789118	47	68,99
"ОАО_ЦКБ_""ТАВРИЯ""_МИНМАШПРОМА_УКРАИНЫ"	24475182	1	62,66
"ООО_""КУРОРТ-СЕРВИС"""	24333877	27	64,46
"ООО_""КАПЕЛЛА""_(МАГ_ПРОД)"	12204916	59	67,72
"ООО_""КАРАГАЧ"""	87446811	252	88,68
"АПТЕКА_""АВ_И_К"""	15776729	29	87,97
"ПРОИЗВОДСТВ_УЧАСТОК_КРЫМСКОГО_ПРОИЗВ-КОММЕРЧЕСК_ПР-Я_""СЕРВИСПАК"""	31965731	19	89,83
Б/ПЛАТНЫЙ	96813934	22	58,94
"КАБ.68_ЦТЭ_МТТС_ООО_""НТП_ИНТЕР-СЕТЬ"""	12756966	53	82,82
"ОАО_""СЕВАСТОПОЛЬСКОЕ_РЕМОНТНО-НАЛАДОЧНОЕ_УПРАВЛЕНИЕ"""	64153505	5	91,36
КАБИНЕТ_РЕФЛЕКСОТЕРАПИИ_ГОРБОЛЬНИЦЫ_7	86706641	17	32,9
ЭЛЕКТРООБОРУДОВАНИЯ_ОТД_НАЧ	63313427	29	19,49
"ЗАО_""КРЫМНИОПРОЕКТ"""	73421609	58	93,23
ЦОП_И_ПУ_УЧАСТОК_ОРГАНИЗАЦИИ_ПРОДАЖИ_УСЛУГ	30545304	55	7,53
11_ПОДЪЕЗД	91065226	5	38,94
СТОУ	10966872	40	43,51
ПАРАШЮТНОЕ_ЗВЕНО_ЮХАРИНА_БАЛКА	31234991	28	50,32
НАЧ_ОТДЕЛА_ЗЕМЛЕПОЛЬЗОВАНИЯ	77158686	87	69,15
ТОНАЛЬНЫЙ_ЗАЛ_ДЕЖ_ТЕХНИК	70283278	28	13,21
"КАФЕ_""РУССКИЕ_ПЕЛЬМЕНИ""_ЗАО_""РЕСТОРАН_""СЕВАСТОПОЛЬ"""	60308912	65	42,41
ШКОЛА_4	95912448	26	71,99
БАКТЕОРОЛОГИЧ_ЛАБОРАТОРИЯ_2_ЭТ	62638890	29	78,19
ПРОФКОМ-ПРЕДСЕДАТЕЛЬ	25798164	33	23,71
ФТОРС_ОТД_КАДРОВ	81722233	5	87,14
"ЧП_""САЛОН"""	81124880	1	61,33
ЗАМ_НАЧ_ПО_НАЗНАЧЕНИЮ_ПЕНСИЙ	55952197	30	67,37
"БАР_""СВЕТЛЯЧОК"",_РЫНОК"	96764787	51	15,57
МАГАЗИН_ХЛЕБНЫЙ	68191087	56	20,17
ТРЕСТ_СЕВАСТОПОЛЬСТОЙ	48056423	109	47,61
ХИМИЧЕСКАЯ_ЛАБОРАТОРИЯ	90025435	12	71,35
ДИСПЕТЧЕР_БУХГАЛТЕРИЯ	96870198	51	68,15
ПРОГРАММИСТ_К.3	43645405	26	6,87
"СЕВАСТОПОЛЬСКИЙ_ЕВРЕЙСКИЙ_БЛАГОТВОРИТЕЛЬНЫЙ_ЦЕНТР_""ХЕСЕД-ШАХАР"""	50191786	45	95,66
ПЕРВЫЙ_ЗАМ.НАЧАЛЬНИКА_ГНИ_К.57	11081888	33	44,9
"ЗАО_ИНВЕСТИЦИОННО-ФИНАНСОВАЯ_КОМПАНИЯ_""МОСТ-С"""	53092162	61	26,23
ДИСПЕТЧЕР_ЗАВОДА	37356142	77	62,98
АВАР.-КОММУН.СЛУЖБА_-2_ЛИНИИ	5597384	7	51,39
ПУЛЬТ_ДЕЖУРНЫЙ_ОПЕРАТОР	62797951	69	14,3
ХИРУРГ_ОТД_СТ_СЕСТРА_ПОСТ	33673335	138	5,91
ФИНАНСОВО-ПЕНСИОННОЕ_ОТДЕЛЕНИЕ	95459750	47	67,8
АП_РАДИОТЕЛЕВИЗИОННАЯ_МАСТЕРСКАЯ	97031431	172	21,92
"ОФИС_ООО_ПКФ_""ПРАКТИКА"""	51446133	36	23,17
ОЗЭПП	50388619	31	91,7
ПЭО	83136732	54	93,04
"СО_ФИРМЫ_""МЕРКЬЮРИ_ГЛОБ_УКРАИНА"""	98555526	50	21,06
"ЭНЕРГОСЛУЖБА_ГКП_""СЕВТРОЛЛЕЙБУС"""	31179425	34	48,04
ТЕЛЕГРАФ	42367341	32	43,69
"АКЦИОНЕРНЫЙ_БАНК_""МОРСКОЙ"""	41929647	8	25,49
"ЗАО_""ВЕТТА"""	79464442	18	57,27
ПРОМБАЗА_НАЧАЛЬНИК	60906924	80	73,28
"ДЕРЕВООБРАБАТЫВАЮЩИЙ_КОМПЛЕКС_ОАО_""КРЫМГИДРОСПЕЦСТРОЙ"""	92639215	62	1,56
ЗАМ_ГЛ_ВР_ПО_ПСИХИАТ_ОТД_КАДР	98763748	6	58,39
ТЕОРИИ_ВОЛН_ОТД	32685099	361	87,62
НАЧАЛТНИК_ОТДЕЛА	58873831	2	48,29
ДРОБ_ОБОГАТ_ФАБРИКА_БАЛАКЛ_НАЧ	96709617	431	4,57
"ЧП_""ФИРМА_""ИНТАКС""_(АТЕЛЬЕ)"	86529498	98	54,78
"КООПЕРАТИВ_""СИЛУЭТ""_ООО_""ПРОМ_УКР-ПАК"""	96762162	48	88,68
МЕТАЛЛОКОНСТРУКЦИЙ_УЧАСТОК	43578124	136	54,83
ВНУТРИ_О/С	8972765	422	72,39
ГЛАВНЫЙ_ЭКОНОМИСТ	82018389	42	8,4
КЛУБ_ВОЕННЫХ_СТРОИТЕЛЕЙ_В/Ч_А-0776	14529736	12	11,32
"ЗАО_""СОЗВЕЗДИЕ""_МАГАЗИН_310"	76855671	107	78
ДОЧ._ПРЕД-ТИЕ_КРЫМСКОГО_АКЦИОН._ОБ-ВА_ПО_ТУРИЗМУ_И_ЭКСКУРСИЯМ_КРЫМТУ	43141797	26	26,05
"ЗАО_""КРАТОН"""	63764405	75	41,41
"ООО_""ДОБРОБУТ-ЮГ"""	29151696	6	94,85
"РЕМОНТНАЯ_МАСТЕРСКАЯ_29_ОАО_""ОБУВНАЯ_ФАБРИКА"""	10564214	4	44,51
"МЧП_""МАМ"""	99652762	58	15,58
БИБЛИОТЕКА	18145275	5	35,46
ЗАВ_ОТД_МАРИКУЛЬТУРЫ	24926432	15	11,97
СТ_СЕСТРА	65199179	33	24,36
ОТД_КОНТРОЛЯ	16852294	188	94,42
АДМИНИСТРАТИВНЫЙ_КОРПУС	66803392	6	60,61
ЗАЛ_N_2	38300291	46	99,88
"ТЕХНО-ТОРГОВЫЙ_КОММЕРЧЕСКО-ОЗДОРОВИТЕЛЬНЫЙ_ЦЕНТР_""БЕЛЬБЕК"""	51690163	28	38
ОТДЕЛ_СНАБЖЕНИЯ	75739706	39	88,8
КОНСУЛЬТАНТ	49586946	23	84,48
1-АЯ_ГОРБОЛЬНИЦА_(ЧЕЛЮСТНОЕ_ОТДЕЛЕНИЕ)	75543132	10	65,93
БУХГАЛТЕРИЯ_ГРУППЫ_РАСЧЕТОВ	67872543	42	74,49
ТЕРАПЕВТИЧ_ОТД_ЗАВЕДУЮЩИЙ	89425864	70	88,4
ГИВЦ_СЕВ.ГОРОДСКОГО_УПРАВЛЕНИЯ_СТАТИСТИКИ_(БЮДЖЕТН.ЧАСТЬ)	62888082	173	29,93
"МАГАЗИН_402_ОАО_""КАЧА""_(МАГ_ПРОД)"	95728011	9	23,73
СЕКРЕТАРЬ_БУХГАЛТЕРИЯ_АРХИТЕКТ	50799945	108	49,38
РАДИОТЕЛЕВИЗИОННЫЙ_ПЕРЕДАЮЩИЙ_ЦЕНТР_КРЫМ	56175349	159	72,61
НЕФРОЛОГИЧ_ОТД_ЗАВ	61650444	16	42,13
ВНУТРЕННЯЯ_СВЯЗЬ_50	76680331	1	48,76
СЕКРЕТАРЬ,_ПРОРАБСКАЯ	4209720	27	73,65
1_ЭТАЖ_ОБЩИЙ	29517781	212	41,56
1_ОТДЕЛЕНИЕ_НАЧ_ЗАМ_ВОЕНКОМА	765314	5	98,22
ОТД_ОХРАНЫ_ОБЩЕСТВ_ПОРЯДКА_НАЧ	22761910	46	42,19
"ЧП_АУДИТОРСКАЯ_ФИРМА_""АУДИТ-ИНФО"""	48415693	11	59,76
"ПОМЕЩЕНИЕ_ЧП_""СИГНАЛ"""	77336350	1	67,42
ОТДЕЛ_КАДРОВ_ОТД_СНАБЖЕНИЯ	76256335	14	66,19
МАГАЗИН_ГОС._ПРЕДПР._471_ОТД._ТОРГОВЛИ_УПР._ТОРГОВЛИ_КЧФ	27116023	48	31,46
РАСЧЕТ_С_ЮР/Л_ОП-Р_КАБ.21Б	20843844	119	2,31
ИНСПЕКТОРА	93260327	14	1,5
ВЕД_ЮРИСК_ИВАНЧЕНКО_ШИШКОВА	34863061	201	32,37
СЕВАСТОПОЛЬСКИЙ_ФИЛИАЛ_САНКТ-ПЕТЕРБУРГСК_ОГО_ГУМАНИТАРНОГО_УНИВЕРСИТЕ	52789468	20	56,27
ЛАБОРАТОРИЯ_СТАНЦИИ_ПЕРЕЛИВАНИЯ_КРОВИ_РЕЗУСНАЯ	92068885	70	47,48
"ООО_""АТЛА"""	49893331	48	62,92
ПЛАНОВО-ЭКОНОМИЧ_ОТДЕЛ	7825114	36	51,86
СТРОЙКА_ГЕРОЕВ_БРЕСТА	25002666	15	18,64
ИНСПЕКТОР_СВЯЗИ	10715916	191	20,8
"ЛАГЕРЬ_""ЛАСПИ"""	75809300	33	13,4
ОФИС_БУХГАЛТЕРИЯ	57106319	7	50,29
"КРЫМЭНЕРГО_ГАЭК_""СЕВГОРЭНЕРГО"""	95022549	67	9,94
"ГП_""КОНСТРУКТОРСКОЕ_БЮРО_РАДИОСВЯЗИ"""	34876283	5	56,72
СТОЛОВАЯ_5	86115520	2	21,05
ГЛ_ЭКОНОМИСТ	12822090	5	55,19
НАЧ_ЦЕХА_ЭКСПЕДИЦИЯ	96575783	137	4,24
"ОФИС_ООО_""АМЕТИСТ_И_К"""	63139260	5	9,29
ДЕТСКИЙ_СТАЦИОНАР_УЛ_9_ЯНВАРЯ	34328249	47	28,99
ТЕЛЕКОМСЕРВИС	26259515	50	25,2
МОДЕМ	76221995	158	80,12
ОГАИ_УМВД_УКРАИНЫ_В_Г._СЕВАСТОПОЛЕ	86011892	5	14,31
2-Й_ЭТАЖ	91439200	3	35,63
"ОФИС_ООО_""ЮЖНЫЙ_ВАРИАНТ"""	75584811	46	30,79
ГЕНЕРАЛЬНОГО_ПЛАНА_ОТД	47280300	66	67,43
"ПОДСТАНЦИЯ_19_(АБРИКОСОВАЯ)_ГАЭК_""СЕВАСТОПОЛЬГОРЭНЕРГО"""	61994391	2	75,95
ТЕРАПЕВТ_ОТД_ЗАВ	29085168	24	5,29
О/С	76847049	1	27,47
ГЛ_СЕСТРА	87886471	22	85,83
К.372	16552320	7	92,71
ОТД_ПО_РАБОТЕ_С_ОБРАЩ_ГРАЖДАН	46262207	29	13,45
ЗАМ._НАЧАЛЬНИКА	22850356	51	73,75
НАЧ_СО	91196887	66	14,67
КАДРОВ_ОТД_ИНСПЕКТОР	85880106	55	86,63
"ОАО_УНИВЕРСАМ_""АХТИАР"""	63256651	2	73,56
ПО_БОРЬБЕ_С_КОНТРАБАНДОЙ_ОТД	38861378	153	85,31
"РАДИОТАКСИ_СЛУЖБА_""060""_ПРЕДПРИНИМАТЕЛЬ_ЛАЗАРЕВ_А.Н."	75523787	7	42,79
"ЗАО_""КОММУНСПОРТ"""	30245798	9	41,56
ЦЕНТР.ОРГАН.ВСЕХ-СВЯТСКОЙ_ЦЕРКОВНОЙ_КЛАДБИЩЕНСКОЙ_ОБЩИНЫ	68474979	14	20,96
"БЛАГОТВОРИТЕЛЬНЫЙ_ФОНД_""ПОЛЬЗОВАТЕЛЕЙ_КОМПЬЮТ.СЕТИ_""ИНТЕРНЕТ"""	19823554	29	1,67
ПРИБОРЫ	62645902	26	3,45
"ФИРМА_""МАГДА"""	25311602	29	5,97
"ООО_""ЦУНАМИ"""	7280202	48	14,92
ТЕРАПЕВТИЧЕСКОЕ_ОТДЕЛЕНИЕ	33816123	222	20,69
ОТДЕЛ_ГОС._СЛУЖБЫ_ОХРАНЫ_ПРИ_ЛЕНИНСКОМ_РО_УМВД_УКРАИНЫ_В_Г.СЕВАСТОПОЛЕ	93771535	23	28,87
НАЧ_ФИН_ЧАСТИ_БУХГАЛТЕР	85288678	2	6,18
ГИНЕКОЛОГИЧЕСКОЕ_ОТД_ДЕЖ_ВРАЧ	31316641	17	87,62
СТ_ПОМОЩНИК	56703327	14	5,98
КОТЕЛЬНАЯ_ЧЕЛЮСКИНЦЕВ_36	18589695	59	20,31
УЧАСТОК_ЭЛЕКТРИКОВ	60400043	12	33,91
"ЗАО_РЕСТОРАН_""ВИКТОРИЯ"""	10440555	37	1,65
ВОЕННАЯ_ПРОКУРАТУРА_СЕВАСТОПОЛЬСКОГО_ГАРНИЗОНА	75351986	152	14,18
НАЧАЛЬНИК_ЦЕХА_N_2	59097907	17	11,71
В/Ч_2161_ОПК-СЕВАСТОПОЛЬ-1	41095056	15	98,45
"ХИМЧИСТКА,ПРАЧЕЧНАЯ_ООО_""БЕЛИЗНА"""	50039770	10	11,68
ГЛАВНЫЙ_ЭНЕРГЕТИК_ПОРТА	26455944	16	3,28
КОМЕНДАТУРА_ЧФ_115	65880104	13	32,6
КОМНАТА_ДЕЖУРНОГО_СТОРОЖА	94292989	7	3,19
РЕАНИМАЦИЯ_ОРДИНАТОРСКАЯ	29724114	23	48,3
ФИНЧАСТЬ	54122121	37	78,9
ПРОХОДНАЯ_РБК	80194385	42	73,74
ИНДСТРОЙ-СЕРВИС	50074197	39	92,57
ТЕХНИЧЕСКИЙ_ОТДЕЛ	4926578	34	48,23
К.11	44305009	24	45,6
В/Ч_А-0890	61036868	16	72,78
В/Ч_51323	5451767	4	36,53
РЫНОК_У_ЛАБОРАТОРИИ,_2_ЭТАЖ	1276372	88	99,99
"ООО_""ГРЭЙ"""	60811523	111	85,38
ВОЕННО-УЧЕТНЫЙ_СТОЛ	83600472	119	11,93
ФИЛИАЛ_5_ЦЕНТРАЛИЗОВАННОЙ_БИБЛИОТЕЧНОЙ_СИСТЕМЫ_ДЛЯ_ДЕТЕЙ_Г.СЕВАСТОПОЛЯ	90302661	61	95,16
ЗАМ_ПРЕД_ИСПОЛКОМА	19097727	115	40,13
КОММЕРЧЕСКИЙ_ДИРЕКТОР_КОМ.25	29880688	45	45,23
"СЕВ.ДИРЕКЦИЯ_НАСК""ОРАНТА"""	20459979	410	88,24
"РЫНОК_""ВОРОНЦОВСКИЙ"""	24312730	29	94,46
РУССКИЙ_ДРАМ.ТЕАТР_ИМ.ЛУНАЧАРСКОГО	57063254	32	78,22
"ЯХТ-КЛУБ_""ЗОЛОТОЙ_СИМВОЛ""_КАРТОФОНЫ_СД_УГПЭС_""УКРТЕЛЕКОМ"""	49264390	46	87,27
ПРИЕМНАЯ_СЕКРЕТАРЬ	46508485	8	15,35
ОФИС_N11	50449332	26	79,53
"ОФИС_ООО_ТПК_""КРЫМСКИЙ_ДОМ"""	31571671	21	50,16
АП_РСУ_-3	48453092	1	85,17
АПТЕКА_БРОНХОЛОГИЧ_ОТД	68106176	335	25,32
КАДРОВ_ОТД_СТРОИТЕЛЬНАЯ	33943587	48	80,09
115_КОМЕНДАТУРА_КЧФ	16414357	386	43,72
"ДОНЕЦКИЙ_ЗАВОД_""ДОНКАВАМЕТ"""	32470489	10	82,34
К.51	3623917	183	59,44
МЕДИЦИНСКОЕ_УЧИЛИЩЕ_ИМ._ЖЕНИ_ДЕРЮГИНОЙ	97248014	8	31,01
ОКТ_РЕВОЛЮЦИИ_56Б	42986634	129	97,47
НАЧ_ОТД_ТЕХН_ИНФОРМАЦИИ	10738839	21	50,61
КАБ.13	41176148	1	86,7
ЦЕХ_ОБРАБОТКИ_НАЧАЛЬНИК_БРИГАД	87367827	102	23,12
СЕВАСТОПОЛЬСКИЙ_НАУЧНЫЙ_ТЕХНИКО-ТЕХНОЛОГИЧЕСКИЙ_ИНСТИТУТ_РЫБНОЙ_ПРОМЫШ	68107226	2	74,98
"ГП_""КИНОВИДЕОПРОКАТ"""	81127140	51	51,78
"УЧ_СУДНО_""ЮНЫЙ_СЕВАСТОПОЛЕЦ"""	27182513	7	11,05
"ПОМЕЩЕНИЕ_ДП_""СНАБСЕРВИС-БАЗА"""	73472828	34	32,44
О/С_59	17871714	48	0,91
ОХРАНА_ТРУДА	40081335	101	51
ЗАВ_ОТДЕЛЕНИЯМИ	57248984	3	5,21
НЕФРОЛОГИЧ_ОТД_СТ_СЕСТРА_ПОСТ	58217042	20	37,55
ФИЛИАЛ_ГДК_НЕВСКАЯ,5	59234090	20	81,82
ФРУКТОХРАНИЛИЩЕ_ХОЛОДИЛЬНИК	87090648	24	91,21
ГОС.КОММУНАЛ.ПРЕДПРИЯТИЕ_МАГАЗИН_81	48720333	103	66,52
АТТРАКЦИОНЫ	51362576	42	41,99
К.121	42415116	32	64,45
ДИСПЕТЧЕР,ТПС-10	78304516	47	47,34
ОТДЕЛЕНИЕ_ЭЛЕКТРОСВЯЗИ_101	73830605	5	96,67
ОТД_ТЕХНИЧЕС_БЕЗОП_ОКТ_РЕВ_52	38902510	40	83,02
ОБ'ЕДИНЕННЫЙ_ПРОФКОМИТЕТ_496	40251744	12	40,1
